184205 4894318 5.146990e+00 3.941436e-03 1.322596e+00 1.068019e-03 
184419 1842144 5.611506e+00 4.324901e-03 1.313791e+00 3.938084e-03 
185259 1476753 5.142646e+00 2.021204e-03 1.321658e+00 5.726931e-04 
166406 10356439 5.794481e+00 1.674259e-03 1.319349e+00 9.155233e-04
167259 224250 5.186140e+00 3.181486e-03 1.326069e+00 9.545953e-04 
162396 3043810 5.149185e+00 3.572220e-03 1.320813e+00 4.628284e-04 
203141 413891 5.187980e+00 4.165319e-03 1.315659e+00 1.061009e-03 
204748 8372727 5.350331e+00 2.790476e-03 1.320037e+00 6.205710e-04 
204750 2392489 5.002179e+00 1.687615e-03 1.320637e+00 2.211081e-03 
196163 6057509 5.269553e+00 1.609935e-03 1.328490e+00 6.167896e-03 
206285 7195686 5.805726e+00 4.867460e-03 1.320203e+00 6.258460e-04 
205995 12325651 5.766517e+00 5.380113e-03 1.323174e+00 1.147931e-03
193051 5218945 5.100376e+00 4.050827e-03 1.321319e+00 1.438190e-03 
196946 2135958 5.792931e+00 1.785116e-03 1.319721e+00 3.462082e-04 
205966 17059099 6.350302e+00 3.198141e-03 1.321197e+00 1.290555e-0
192988 5742724 5.086070e+00 1.270076e-03 1.321792e+00 6.582011e-04 
198843 14255706 5.789003e+00 1.599092e-03 1.321282e+00 5.460054e-04
211463 1944502 5.798565e+00 4.945428e-03 1.320476e+00 2.772205e-03 
194862 6453717 5.210299e+00 1.889159e-03 1.320259e+00 5.669543e-04 
196946 11510041 5.793140e+00 4.491960e-03 1.321357e+00 3.247170e-03
222246 517857 6.220206e+00 4.343909e-03 1.322161e+00 1.028943e-03 
196276 1986714 5.423671e+00 2.434491e-03 1.323719e+00 2.845845e-04 
201133 5702877 5.794843e+00 5.038630e-03 1.316557e+00 1.900382e-03 
201543 462648 5.890051e+00 4.576747e-03 1.320226e+00 7.217148e-04 
222354 4112910 5.802331e+00 2.155954e-03 1.322472e+00 2.479250e-03 
222417 4256522 5.828112e+00 2.680352e-03 1.326774e+00 4.550376e-04 
197763 10906338 5.798177e+00 2.361808e-03 1.327750e+00 6.417604e-04
206828 4200141 5.208210e+00 1.673946e-03 1.327712e+00 8.543456e-04 
203819 4734892 5.790766e+00 4.660602e-03 1.320645e+00 1.941700e-03 
